pCa	kfca	IbarNCX	ks	koCa	ec50SR	Vmax_SRCaP	Kmf	Kmr	m	h	j	d	f	fcaBj	fcaBsl	xtos	ytos	xtof	ytof	xkr	xks	RyRr	RyRo	RyRi	NaBj	NaBsl	TnCL	TnCHc	TnCHm	CaM	Myoc	Myom	SRB	SLLj	SLLsl	SLHj	SLHsl	Csqnb	Ca_sr	Naj	Nasl	Nai	Ki	Caj	Casl	Cai	Vm	rtos
1.52371561100582	0.329375467562214	0.825394831942561	0.627280430503399	1.30983236450321	0.784309886477171	2.22941526974125	0.415339971882902	0.437453272603268	0.00134305456830255	0.987486029247605	0.992028456979687	6.85669631129504e-06	1.00067206241299	0.00885525178253948	0.00489876984471383	0.00397882546597088	0.445072951967771	0.00397883938648052	0.994697144096537	0.00833511661753228	0.00536129617732435	0.928167133641158	1.8188210771255e-06	1.40759838406108e-07	3.7305822414357	0.814084183736716	0.00845796620636246	0.114830838363039	0.0118463719221233	0.000279194905683444	0.00163319405208967	0.13785523534032	0.00206453762113362	0.00798758525241232	0.00970418197374203	0.0771329281507794	0.1126039375451	1.23899046926625	0.591725344749083	9.7180844612361	9.72111857552081	9.72169722947647	135	0.000189922486139124	0.000104623467797074	8.23917108465148e-05	-85.8416651246942	0.417528390659886
2.46597306043165	2.82074052528549	2.0108430765047	1.00237705090964	1.39499333366051	2.36848205635491	0.544300407333268	1.10379638196863	2.47097307406042	0.00135886773348058	0.987288409327329	0.991910724017219	6.93729528439158e-06	1.00067446163434	0.0763163372467062	0.0408722669155589	0.00399746381677277	0.424048769454457	0.00399741596907746	0.994659369128951	0.00841345897912633	0.00542637094790255	0.848652600599938	9.59046869901035e-07	1.71033751779221e-07	3.76138539416189	0.820489571124617	0.00871032959416345	0.126575253805848	0.00616773538797476	0.000286809183574696	0.00318592225495412	0.136265885127616	0.00211724577006285	0.00859301830140048	0.00971947911071494	0.0806931538756944	0.11293465880218	1.57151869797752	0.993199516139198	9.88081414567538	9.87714674586968	9.87763252465512	135	0.000204539681508852	0.000104782237222057	8.46174708678143e-05	-85.7715586852367	0.392549753070183
1.77038937987584	0.495153100213693	0.962931643835658	1.94415844617574	2.78438618045965	2.47978392404154	0.518093164730943	0.871161134892842	1.98447875130544	0.00132500071597186	0.987710041814259	0.992160313171253	6.7647283081484e-06	1.00066944504832	0.0189472972031135	0.00855730604801956	0.00395758164225328	0.391633413409791	0.00395750287895566	0.994738683877232	0.0082473613550296	0.00561555858464133	0.760046183413635	2.29974686980512e-06	7.26042827508456e-07	3.93034318592526	0.85745989104111	0.00833477826943986	0.132558223085144	0.0032691712282113	0.000269894165915464	0.00635829544154859	0.133014068326333	0.0020104038246757	0.0113551342501159	0.0109957622553287	0.0946023546371357	0.124001248116399	1.38197878398351	0.737496647416424	10.8046461200937	10.8036463116269	10.8043311073185	135	0.000271655607904375	0.000118652270188305	7.94928666872104e-05	-85.9227045715266	0.351776867209983
2.2488081573	2.9245090692	0.5406111939	0.6121392078	2.6253708582	0.9918075918	2.1853358688	2.1526028913	2.3904210135	0.00139941726886857	0.986778991102931	0.99160874832366	7.14399891994757e-06	1.00068034410892	0.0753439051684746	0.0426635074813734	0.00404443728347616	0.5207385697019	0.00404444173099118	0.994565541851968	0.00861108115753954	0.00540404492682788	0.894007751721937	2.45633304188204e-06	2.91211694855177e-07	3.30787708984043	0.721827068558625	0.00857716129927824	0.116471334783925	0.011055536476326	0.000283511788611881	0.00173606891032223	0.137750416217702	0.0020930599132431	0.00820074467908236	0.00988578020359408	0.0783994049257413	0.114186506549747	1.20394483582129	0.560553921916973	7.76771554062564	7.76759839158039	7.76785064179214	135	0.000195066846926865	0.000106596819459206	8.36779086288486e-05	-85.5953834789087	0.599960244629714
2.2684314279	1.9998585129	0.9597954387	1.7035387779	2.7027765723	2.305231869	0.3527146245	0.9179904936	2.817481188	0.00134679410630038	0.987439086203787	0.991999861597422	6.87576980180583e-06	1.00067269396642	0.0571658783959758	0.030574715425118	0.00398332700013111	0.427403605898457	0.00398325668312809	0.994687432275554	0.00835447391597209	0.00539462877389867	0.796038471478893	1.34938657206995e-06	3.45737888111199e-07	3.74201474972533	0.81650963877147	0.00822218665330974	0.129740115725945	0.0046320274351472	0.000265804586045724	0.00434238962867563	0.135078726730762	0.00198345413590689	0.00885848998463836	0.00998170319103214	0.0822132789645689	0.115550717719931	1.28296178791464	0.633182582173782	9.78022849633023	9.78127398469271	9.781831194558	135	0.000210955718230791	0.000107618541156389	7.82684375494329e-05	-85.8250133453521	0.397808422989067
2.2288168335	2.2249977753	2.1874373517	0.9183000918	0.3142180245	0.8359571712	1.5714928614	1.6604378652	2.6582205324	0.00135933967547305	0.987282613580023	0.991907684128705	6.93971960302851e-06	1.00067449427655	0.055446755905273	0.0313539368672941	0.00399797214612211	0.461704579782948	0.0039979667309479	0.994658716594346	0.00841530056565929	0.00536476655402567	0.954856347160075	6.68982050826902e-07	3.16276223593456e-08	3.7334292860597	0.814514532497149	0.00881848730984368	0.12212289889519	0.00832399452085129	0.000292242722245552	0.00224842692515134	0.137226725158981	0.00215057196710527	0.00776047510431847	0.00942776061989462	0.0757729022079681	0.110237461333984	1.48584337946746	0.866842299967958	9.73468178837325	9.73283779360703	9.73332120110513	135	0.000184443234271003	0.00010161817589423	8.62781662929066e-05	-85.7694544631362	0.44325230699344
2.2047405366	2.6730548994	2.77583601	1.6820738589	1.0857760509	2.3386411047	0.7055186457	1.1248193442	1.7447149254	0.00136846064770192	0.987168522362288	0.991839861689796	6.98613943137768e-06	1.00067584877309	0.0623199545599919	0.0362234010898852	0.00400862160869906	0.445747401201414	0.00400860156898161	0.994637266867276	0.00846009047268216	0.00539420897692369	0.850275515415903	4.60732359659511e-07	8.11297961176479e-08	3.69464875100374	0.805950594035657	0.00877734711857118	0.121342561944944	0.00870205524801463	0.000290400877464638	0.00226114811421944	0.137213508432496	0.00213903093478001	0.0073166830783965	0.00910047471149027	0.0729973202450103	0.107364245044893	1.4522062189183	0.822389811871052	9.5379191485596	9.53509492499197	9.53552550879643	135	0.000173754056892987	9.80627477547742e-05	8.57196458846383e-05	-85.729456488549	0.42088016173969
2.1004418883	2.026156224	1.7838352362	1.9559769654	2.236966986	2.5764466314	0.4033454241	1.3048586652	2.9192164077	0.00135076486015373	0.987389443153588	0.991970189257927	6.89601027914395e-06	1.00067330495197	0.0490712070968829	0.0300223414856441	0.00398802462215349	0.428685348803319	0.0039879277878985	0.99467783733697	0.00837427544117463	0.00540413808115515	0.811186941954673	7.397515112905e-07	1.72184844284956e-07	3.75105727996472	0.818418837934932	0.00904151684385661	0.127208851554924	0.00586819528720735	0.000296819304308981	0.00347399659805084	0.135972629297179	0.00218630588102995	0.00746633070859852	0.00972590649764583	0.0739842611330386	0.113230599529883	1.22814073545699	0.581905049087342	9.82642732798537	9.82723912961653	9.82777309690176	135	0.00017735136789232	0.000104842714977149	8.7539117317847e-05	-85.8073817148984	0.39851666003736
2.3752861635	2.1298350171	0.3024089427	1.7283438804	2.6154717456	2.7372659214	1.8690487671	2.2585726101	2.7240153015	0.00140152432877601	0.986752362655268	0.991592898494397	7.15474347900149e-06	1.00068065070627	0.0691505889398284	0.0358328814193919	0.00404686186279198	0.529313436179462	0.00404686422476777	0.994560643660631	0.00862137544347132	0.0054067501482506	0.760499191072856	1.53379334044972e-06	4.83027012230153e-07	3.28535352667498	0.716893569399541	0.00927253467775981	0.119627169962663	0.00954273373760858	0.000309529022377276	0.00202813999061342	0.137454590057365	0.00226211315898169	0.0102254840359879	0.0112977297196561	0.0892745985708442	0.125906780598447	1.26727283382691	0.618076551058838	7.67475879674057	7.67425104000928	7.67448828604345	135	0.000244132259625763	0.000121963740617754	9.14534001454697e-05	-85.5863665901314	0.645750754148825
1.6614294105	1.0979315535	0.3664521408	2.1627965658	2.6903387955	2.8924023567	1.7719753458	2.1306612711	2.9354193966	0.00139669952108498	0.986813298681788	0.991629124095135	7.13014158824028e-06	1.00067995200849	0.0333861657516138	0.0167039194020683	0.0040413119089275	0.524875540015631	0.0040413147541558	0.994571816502863	0.00859785005349687	0.00540019505125494	0.770918608172092	1.24407604440414e-06	3.69679856650149e-07	3.31150225323819	0.722622367162111	0.00808281672712894	0.118655218170358	0.00998773864256628	0.000264997840573485	0.00188042530729742	0.13760017643075	0.00197116541142012	0.00924005227803999	0.0100191024817691	0.0842271708566639	0.115362790867077	1.20576665920933	0.562135786580932	7.78250964522573	7.78251388580011	7.78277922480078	135	0.000220207044487171	0.000108045036294711	7.81460757891576e-05	-85.6070334509746	0.62883019260947
